id,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,row_id
9032095,367647000,2023-05-24T22:00:05Z,27.95987,-93.65757,12,80.7,78,CAPT. ELLIOT MCCALL,IMO9744453,WDM5094,61,0,64,11,2,60,A,1
9032120,367767480,2023-05-24T22:00:05Z,29.79502,-93.32485,0,290.9,511,HOLT T,IMO8978203,WDJ3382,60,0,29,7,2.47,60,A,1
9031741,368227830,2023-05-24T22:00:05Z,27.86723,-93.99287,2.3,83.7,265,BUNNY BORDELON,IMO9260756,WDM6737,70,0,39,11,0,70,A,1
9029758,538009657,2023-05-24T22:00:05Z,29.59278,-89.82298,15,128.4,130,CLIPPER MEDWAY,IMO9587221,V7A5005,70,0,181,30,7.1,70,A,1
9029565,367188610,2023-05-24T22:00:06Z,27.92417,-82.44899,6.2,151.3,511,STARSHIP II,NA,WDD7601,60,0,35,7,2.62,60,A,1
9032364,367192710,2023-05-24T22:00:06Z,29.28541,-89.36016,0,155.8,511,BAR PILOT,NA,WDD7896,60,15,15,5,1.9,50,A,1
9030444,368112000,2023-05-24T22:00:06Z,29.4064,-92.50543,19.4,249.3,511,ADRI LAB,IMO8739023,WDF2836,60,15,49,9,3.19,60,A,1
9030149,636022111,2023-05-24T22:00:06Z,30.66697,-88.03312,0,207,164,MSC KALAMATA VII,IMO9244946,5LHF8,71,5,304,40,13.3,71,A,1
9032239,244810614,2023-05-24T22:00:07Z,29.495,-85.77878,12.9,179.9,178,INDUSTRIAL MERCHANT,IMO9534470,PCYD,70,0,116,17,7.8,70,A,1
9031137,366518000,2023-05-24T22:00:07Z,29.1155,-90.21034,4.1,334,333,ODYSSEA PHOENIX,IMO9668154,WOYY,70,0,93,19,5.8,70,A,1
9036033,367053620,2023-05-24T22:00:07Z,29.60305,-89.86678,0.2,278,511,MISS EFFIE,NA,WYR3654,60,0,13,4,1.74,30,A,1
9031468,367136040,2023-05-24T22:00:07Z,29.31089,-94.78959,0,320.3,511,NEW BUCCANEER,NA,WYU8674,60,15,23,9,2.53,30,A,1
9031575,367666910,2023-05-24T22:00:07Z,29.1438,-90.20464,0,338,252,CAJUN IV,IMO9732761,WDH9327,60,0,64,9,2,60,A,1
9033756,367702000,2023-05-24T22:00:07Z,27.86338,-97.05304,5.9,28.7,511,MUSTANG,NA,WDD6245,69,5,19,6,0,69,A,1
9031902,368014310,2023-05-24T22:00:07Z,27.96224,-82.82067,2.3,253.2,511,STARSHIP IV,NA,WDJ8221,60,0,22,4,2.5,60,A,1
9033423,368295110,2023-05-24T22:00:07Z,29.14263,-90.2144,0,255.3,337,HOS ROSEHILL,IMO1323240,WRN6010,70,0,87,18,4.4,70,A,1
9031638,538003366,2023-05-24T22:00:07Z,25.86934,-79.43215,11.1,181.6,184,ALGOMA VALUE,IMO7926148,V7QH6,70,0,244,32,12.8,70,A,1
9031978,538005148,2023-05-24T22:00:07Z,29.72192,-95.23771,0,102.9,54,TOMORROW,IMO9679282,V7BI7,70,5,189,32,12.7,70,A,1
9032000,563326000,2023-05-24T22:00:07Z,27.67375,-95.04452,13.5,261.5,259,EAGLE KINABALU,IMO9422196,9V8779,80,0,243,42,14.6,80,A,1
9031904,367037610,2023-05-24T22:00:08Z,29.86474,-89.92913,0,360,511,FRANK H,NA,WDC5212,60,0,15,5,1.9,0,A,1
9030956,367366390,2023-05-24T22:00:08Z,29.13609,-90.2037,0,224.6,511,MISS LINDA LEE,IMO9556222,WDE5415,60,0,47,8,3.03,60,A,1
9032948,367518920,2023-05-24T22:00:08Z,29.67153,-93.83218,11.4,347.2,346,AMERICAN PHOENIX,IMO9564578,WDG2754,80,0,188,32,11,80,A,1
9031391,563136900,2023-05-24T22:00:08Z,29.18514,-94.43098,5,320.1,327,CLEAROCEAN HICKORY,IMO9916616,9V7209,80,0,183,32,8.3,80,A,1
9037308,636017828,2023-05-24T22:00:08Z,28.83318,-94.40909,11.6,357.4,0,STOLT KIRI,IMO9266231,D5MW8,80,0,145,24,9.6,82,A,1
9032261,249086000,2023-05-24T22:00:09Z,29.74647,-95.28496,0,228.2,332,SCOT BREMEN,IMO9260835,9HA4091,80,8,116,18,7.4,80,A,1
